genre,title,price,discount,bonus,cover,year,publisher,rating,reviews,stock
Боевики,Тринадцать загадочных случаев,2 198 ₸,-20%,+22,мягкая обложка,2021,Эксмо,4.8,104 отзыва,На складе
Боевики,Безмолвный пациент,3 539 ₸,-20%,+35,главный триллер года (обложка с клапанами),2019,Эксмо,5.0,22 отзыва,На складе
Боевики,Власть пса,7 810 ₸,-15%,+78,твердый переплет,2024,Азбука,5.0,1 отзыв,На складе
Боевики,Головоломка,2 336 ₸,-15%,+23,звезды мирового детектива (обложка),2023,Азбука,4.8,64 отзыва,На складе
Боевики,Код да Винчи,3 175 ₸,No discount,+32,мягкая обложка,2014,АСТ,4.9,58 отзывов,На складе
Боевики,Воспитание бабочек,6 796 ₸,-15%,+68,твердый переплет,2025,Азбука,Not rated,0,На складе
Боевики,Тайна пациента,1 919 ₸,-20%,+19,высшая лига детектива. романы лорет энн уайт (обложка),2023,Эксмо,4.7,17 отзывов,На складе
Боевики,Загадка номера 622,7 961 ₸,No discount,+80,твердый переплет,2021,АСТ,4.7,15 отзывов,На складе
Боевики,11/22/63,3 637 ₸,No discount,+36,мягкая обложка,2020,АСТ,4.7,34 отзыва,На складе
Боевики,Десять негритят,4 164 ₸,-15%,+42,твердый переплет,2021,Эксмо,4.8,45 отзывов,На складе
Боевики,Зеленая миля,2 738 ₸,No discount,+27,мягкая обложка,2021,АСТ,4.8,34 отзыва,На складе
Боевики,Сияние,3 175 ₸,No discount,+32,мягкая обложка,2019,АСТ,4.8,32 отзыва,На складе
Боевики,Худеющий,2 239 ₸,No discount,+22,мягкая обложка,2015,АСТ,4.8,54 отзыва,На складе
Боевики,Безмолвный пациент,3 388 ₸,-20%,+34,мягкая обложка,2021,Эксмо,4.7,30 отзывов,На складе
Боевики,Ангелы и демоны,3 175 ₸,No discount,+32,мягкая обложка,2014,АСТ,4.8,61 отзыв,На складе
Боевики,Три с половиной оборота,4 452 ₸,-20%,+45,твердый переплет,2024,Эксмо,Not rated,0,На складе
Боевики,Сияние,3 175 ₸,No discount,+32,мягкая обложка,2020,АСТ,4.5,16 отзывов,На складе
Боевики,Рождество Эркюля Пуаро,4 338 ₸,-20%,+43,твердый переплет,2019,Эксмо,4.9,17 отзывов,На складе
Боевики,Приключения Шерлока Холмса,2 133 ₸,No discount,+21,мягкая обложка,2018,АСТ,4.8,47 отзывов,На складе
Боевики,Бойцовский клуб,2 239 ₸,No discount,+22,мягкая обложка,2022,АСТ,5.0,23 отзыва,На складе
Боевики,Загадка Эдгара По,7 432 ₸,-15%,+74,твердый переплет,2025,Азбука,Not rated,0,На складе
Боевики,Объявлено убийство,2 198 ₸,-20%,+22,мягкая обложка,2022,Эксмо,4.9,28 отзывов,На складе
Боевики,Хирург,2 017 ₸,-25%,+20,мягкая обложка,2023,Азбука,5.0,34 отзыва,На складе
